,id,id_p
246,811,AXIOO MYBOOK 14F 4GB/128GB
247,663,HDD 1TB CABUTAN LAPTOP
248,770,ACER ASPIRE C22-1650 I3/512GB
249,657,SSD NVME 512GB CABUTAN LENOVO
250,866,VIEWSONIC PA-503XE
251,836,HP ELITEBOOK X360 1030 G2
252,793,VIEWSONIC M1 +G2
253,880,PROJECTOR VIEW SONIC M2E
254,843,LENOVO IP 3 14IGL05 N4020/4GB/512GB
255,845,LENOVO THINKBOOK 14IIL CORE I3
256,831,ASUS A1502Z CORE I5
257,846,MONITOR SAMSUNG S22A336NHE
258,878,PROJECTOR EPSON EB-W06
259,851,ACER ASPIRE SWITCH 10E  SECOND
260,853,ASUS M3400Q
261,863,LENOVO V14 G2 ALC R3/4G/512/WIN 10+OHS2019
262,855,AXIOO MYBOOK 14F 8GB/256GB
263,862,LENOVO V14 G2 ITL CORE I3/4GB/256GB/MX350
264,1116,SCREEN MANUAL 96 LEATEAC
265,867,"HDD 1TB 3,5"""
266,829,ASUS K413EA/I3/8GB/512GB
267,872,KABEL HDMI 2.0 SUPPORT 4K 2K 10M EYOTA
268,826,ASUS V241EAT/I3/4GB/1TB/TOUCH
269,839,"KABEL HDMI 1,5M JARING"
270,861,AXIOO MYBOOK 14F 6GB/256GB
271,818,MONITOR VIEWSONIC VA2210-H
272,817,PROFESIONAL FM TRANSCEIVER
273,803,LOGITECH C930E
274,785,MSI KATANA GF66 9S7-158422-239 CORE I7/512GB/RTX3060Ti
275,567,TINTA EPSON 664 BLACK
276,662,"HDD 1 TB 3,5"""
277,526,HIKVISION DS-7204HUHI-K1
278,1109,DAHUA DH-HAC-HFW1200SLP
279,1108,WEB CAMERA HD 720P
280,1111,HIKVISION DS-2CE76DOT-EXIPF 2MP (INDOOR)
281,854,ASUS A416M
282,877,MONITOR AOC G2490VGA/70
283,874,NB HP 245 G8 R3-5300
284,870,DAHUA HCVR5104H-V2
285,493,EZVIZ C6N
