,user,id_p,coun
183,399,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
184,400,PRINTER EPSON L3210,1.0
185,401,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
186,401,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
187,402,PRINTER EPSON L3210,1.0
188,403,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
189,403,RAM 4GB KINGSTON,1.0
190,404,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
191,405,ACER PROJECTOR BS-120PV XGA-4000 ANSI,1.0
192,406,RAM 8GB KINGSTON,1.0
193,406,RAM 8GB KINGSTON,1.0
194,406,RAM 8GB KINGSTON,1.0
195,407,ASUS NOTEBOOK/M34010C-OLED556/R5-5600H/RTX 3050/8GB/512GB SSD/COOL SILVER/OPI/WIN11,1.0
196,407,MONITOR ACER XV242Y 24',1.0
197,408,PRINTER HP 1216,1.0
198,409,PRINTER EPSON L3210,1.0
199,409,PRINTER EPSON L3210,1.0
200,410,AXIOO MYBOOK 14E 4GB/256GB ,1.0
201,411,AXIOO MYBOOK 14E 4GB/256GB ,1.0
202,412,VIEWSONIC PA-503S,1.0
203,413,ACER PROJECTOR BS-120P XGA-4000 ANSI,1.0
204,413,KABEL HDMI 2.0 SUPPORT 4K 2K 10M EYOTA,1.0
205,413,BRACKET SCREEN,1.0
206,414,RAM 8GB,1.0
207,415,PRINTER EPSON L1250,1.0
208,416,NB LENOVO V14 90ID RYZEN 3-5300U RAM 8GB  SSD 512GB,1.0
209,416,MOUSE VOTRE,1.0
210,417,AXIOO MYBOOK 14F 6GB/265GB ,1.0
211,418,RAM 4GB KINGSTON,1.0
212,419,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
213,420,AXIOO MYBOOK 14E 4GB/256GB,1.0
214,422,MONITOR PHILIPS 241V8 ,1.0
215,423,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
216,424,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
217,425,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
218,426,LENOVO V14GEN2 BCID CORE I7-11657 8GB/512GB,1.0
219,427,"SCREEN TRIPOD 70"" PIXEL",1.0
220,428,MONITOR ACER XV242Y 24',1.0
221,429,MONITOR ACER XV242Y 24',1.0
222,430,MONITOR VIEW SONIC VA2210-H,1.0
223,430,MONITOR VIEW SONIC VA2210-H,1.0
224,431,NB ACER ASPIRE 7 A715-42G-R75V R5-5500U/16GB/512GB/RTX3050/FHD/WIN11 OHS CHARCOAL BLACK,1.0
225,432,RAM 8GB KINGSTON,1.0
226,433,MONITOR SAMSUNG C27F390FHE ,1.0
227,434,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
228,434,MOUSE VOTRE,1.0
229,435,EPSON EB-X500,1.0
230,436,PROJECTOR EPSON EB-W06 WXGA,1.0
231,436,PROJECTOR EPSON EB-W06 WXGA,1.0
232,436,PROJECTOR EPSON EB-W06 WXGA,1.0
233,436,PROJECTOR EPSON EB-W06 WXGA,1.0
234,436,PROJECTOR EPSON EB-W06 WXGA,1.0
235,436,LENOVO V50A-221MB,1.0
236,436,PC LENOVO V50A-22IMB ,1.0
237,436,PRINTER EPSON L5150,1.0
238,436,SCREEN MANUAL 96 LEATEAC,1.0
239,436,PRINTER EPSON L5290,1.0
240,436,PRINTER EPSON L5290,1.0
241,436,PRINTER EPSON L5290,1.0
242,436,NIKON Z 50 DX16-50 KIT,1.0
243,436,NIKON Z 50 DX16-50 KIT,1.0
244,436,NIKON Z 50 DX16-50 KIT,1.0
245,437,VIEWSONIC M2E,1.0
246,437,VIEWSONIC LED LIGHT SOURCE M2E M SERIES,1.0
247,437,VIEWSONIC PA-503S,1.0
248,437,VIEWSONIC PA-503S,1.0
249,437,VIEWSONIC PA-503S,1.0
250,437,VIEWSONIC PA-503S,1.0
251,438,NB ASUS K413EA-VIPS353 CORE I3-1125G4/512GB 8GB DDR 4 FHD FINGERPRINT BACKLIGT WIN 11,1.0
252,439,NB HP 245 G8 RYZEN 5-5500U RAM 8GB SSD 512GB,1.0
253,439,MOUSE VOTRE,1.0
254,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
255,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
256,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
257,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
258,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
259,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
260,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
261,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
262,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
263,440,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
264,441,NB LENOVO V14 90ID RYZEN 3-5300U RAM 8GB  SSD 512GB,1.0
265,441,MOUSE VOTRE,1.0
266,442,NB ASUS A416MA0-VIPS422 N4020 RAM 4GB SSD 256GB VIPS FHD SLATE GREY,1.0
267,442,MOUSE VOTRE,1.0
268,443,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
269,443,RAM 4GB KINGSTON,1.0
270,444,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
271,445,"ACER MONITOR KA242Y 23,8 INCH",1.0
272,446,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
273,448,ASUS A1502Z CORE I5,1.0
274,449,ASUS PC S500TC-I3 10105/GT730/4G/1TB/WIN/2Y/300W,1.0
275,449,ASUS PC S500TC-I3 10105/GT730/4G/1TB/WIN/2Y/300W,1.0
276,449,PRINTER EPSON L121,1.0
277,449,PRINTER EPSON L121,1.0
278,450,ELECTRIK SCREEN 96' LETAEC,1.0
279,451,EPSON EB-X500,1.0
280,452,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
281,453,PRINTER EPSON L121,1.0
282,454,MONITOR DAHUA DHI-LM19-B200A HD+ @60HZ,1.0
283,455,ACER PROJECTOR BS-120P XGA-4000 ANSI,1.0
284,455,"SCREEN MANUAL 84"" CASA MW",1.0
285,455,BRACKET SCREEN,1.0
286,456,MONITOR DAHUA DHI-LM19-B200A HD+ @60HZ,1.0
287,457,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
288,458,EPSON PROJECTOR EB-X51,1.0
289,458,EPSON PROJECTOR EB-X51,1.0
290,458,"SCREEN TRIPOD 70"" CASA",1.0
291,458,"SCREEN TRIPOD 70"" CASA",1.0
292,459,ASUS NOTEBOOK/A416KA-FHD421/N4500/UMA/4GB/256GB PCIE/FHD/TRANSPARENT SILVER/OPI/WIN11,1.0
293,460,BENQ MS-550,1.0
294,460,BENQ MS-550,1.0
295,461,PRINTER EPSON L121,1.0
296,462,SSD NVME 1TB,1.0
297,463,MONITOR DAHUA DHI-LM22-H200 FHD @60HZ,1.0
298,464,ACER PROJECTOR BS-120P XGA-4000 ANSI,1.0
299,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
300,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
301,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
302,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
303,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
304,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
305,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
306,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
307,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
308,465,ACER A51455 32XQ I3 1115G4 4/512 WIN 11,1.0
309,466,VIEWSONIC PA-503XE,1.0
310,467,NB ACER ASPIRE 7 A715-42G-R75V R5-5500U/16GB/512GB/RTX3050/FHD/WIN11 OHS CHARCOAL BLACK,1.0
311,467,MOUSE VOTRE,1.0
312,468,"SCREEN MANUAL 96"" CASA WHITE",1.0
313,469,BENQ MS-550,1.0
314,471,TENDA ROUTER,1.0
